"WALSALL WEDNESBURY SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SP005965,Long,-1.994055,Lat,52.566328,,,,,,,
Station no,2330,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.22,1.21,0.89,2.02,1.87,0.74,3.36,0.91,0.75,1.05,,
February,3.90,0.99,1.29,1.13,3.57,0.52,1.81,1.09,1.26,0.49,,
March,0.59,1.71,1.32,4.26,1.29,2.92,1.03,1.02,3.02,2.79,,
April,0.72,1.59,1.96,1.40,1.03,1.63,1.03,1.64,2.31,1.66,,
May,1.69,1.03,2.68,2.03,2.14,0.61,2.60,3.87,3.31,1.32,,
June,2.38,1.33,1.79,1.49,0.24,1.51,2.14,2.80,2.56,3.43,,
July,2.03,3.36,1.70,1.52,2.16,3.14,1.48,2.37,2.73,3.19,,
August,3.52,2.00,4.19,4.77,2.25,4.20,1.39,2.47,2.71,1.70,,
September,0.42,0.53,1.29,3.02,1.29,1.29,1.38,0.80,1.60,2.45,,
October,3.02,1.85,2.31,5.25,0.98,1.18,4.72,5.30,2.04,2.83,,
November,2.46,1.11,1.92,1.69,1.37,2.34,2.70,2.22,1.62,0.67,,
December,3.66,4.06,1.45,1.60,1.45,0.79,1.98,2.62,1.57,3.90,,
Total,27.61,20.77,22.79,30.18,19.64,20.87,25.62,27.11,25.48,25.48,,
Calc annual,27.61,20.77,22.79,30.18,19.64,20.87,25.62,27.11,25.48,25.48,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
