"TORRINGTON RESERVOIR",,,,,,,,,,,,
Grid ref,SS510202,Long,-4.123101,Lat,50.961905,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.97,,,,,,,,,,,
February,4.79,,,,,,,,,,,
March,1.13,,,,,,,,,,,
April,1.66,,,,,,,,,,,
May,1.88,,,,,,,,,,,
June,4.01,,,,,,,,,,,
July,1.62,,,,,,,,,,,
August,2.55,,,,,,,,,,,
September,1.22,,,,,,,,,,,
October,5.18,,,,,,,,,,,
November,6.07,,,,,,,,,,,
December,7.79,,,,,,,,,,,
Total,42.87,,,,,,,,,,,
Calc annual,42.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
