"NEWCASTLE LIT AND PHIL SOC",,,,,,,,,,,,
Grid ref,NZ247639,Long,-1.615711,Lat,54.969114,,,,,,,
Station no,RR38,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.08,1.45,1.49,1.61,1.48,0.25,2.67,0.10,1.48,0.55,,
February,5.51,1.37,1.46,1.42,3.52,0.53,0.65,1.28,1.66,1.36,,
March,1.75,1.85,1.00,1.30,1.42,1.30,1.06,0.93,3.78,5.04,,
April,1.24,1.10,1.92,1.46,1.79,2.75,1.73,2.62,2.59,2.19,,
May,1.53,2.37,3.78,2.53,3.03,0.85,5.56,4.87,2.44,1.42,,
June,4.87,1.31,2.73,3.37,1.94,1.03,1.85,3.05,0.23,2.62,,
July,1.71,4.21,4.33,5.20,1.37,3.22,1.19,1.84,3.83,1.74,,
August,6.71,2.21,3.93,2.99,2.27,2.33,4.45,2.80,1.10,3.94,,
September,0.99,0.80,0.41,2.82,0.99,2.36,0.60,0.55,2.60,2.04,,
October,7.30,2.34,3.13,8.93,0.89,3.02,5.08,6.35,1.50,2.14,,
November,3.16,5.87,0.82,1.93,2.78,4.86,3.84,1.57,1.27,0.56,,
December,2.18,2.92,2.05,3.07,1.64,0.44,3.61,3.39,0.89,4.80,,
Total,40.03,27.80,27.05,36.63,23.12,22.94,32.29,29.35,23.37,28.40,,
Calc annual,40.03,27.80,27.05,36.63,23.12,22.94,32.29,29.35,23.37,28.40,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
