"BOURN LODGE",,,,,,,,,,,,
Grid ref,TL322574,Long,-0.067101,Lat,52.198988,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.60,2.14,,,,,,,,
February,,,1.11,0.61,,,,,,,,
March,,,1.02,2.56,,,,,,,,
April,,,0.96,1.45,,,,,,,,
May,,,3.26,3.13,,,,,,,,
June,,,2.72,4.80,,,,,,,,
July,,,1.41,4.60,,,,,,,,
August,,,2.79,3.15,,,,,,,,
September,,,1.03,2.26,,,,,,,,
October,,,1.80,4.27,,,,,,,,
November,,,1.41,2.38,,,,,,,,
December,,,1.01,1.13,,,,,,,,
Total,,,19.12,32.48,,,,,,,,
Calc annual,0.00,0.00,19.12,32.48,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
