"SHAWS W WORKS KELLY DAM",,,,,,,,,,,,
Grid ref,NS221684,Long,-4.845244,Lat,55.875817,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.20,4.40,6.80,9.50,7.20,5.10,8.00,4.40,8.90,6.90,,
February,5.20,2.80,2.10,9.60,5.90,4.00,5.40,9.00,5.00,5.30,,
March,0.50,3.00,5.30,9.10,3.10,6.30,5.10,8.10,9.80,4.60,,
April,3.60,5.20,2.40,2.50,5.60,4.80,1.80,4.80,2.60,6.90,,
May,5.00,1.90,3.70,4.10,3.60,2.40,7.80,6.60,4.20,5.50,,
June,4.60,3.80,2.00,2.90,2.60,1.90,2.20,6.00,4.40,3.20,,
July,4.90,1.90,5.50,5.50,4.00,4.20,4.20,3.80,6.10,6.60,,
August,7.50,7.50,4.90,11.70,6.60,5.80,6.70,7.50,6.80,4.60,,
September,6.20,5.50,5.40,4.50,8.10,5.10,4.50,2.60,11.00,2.60,,
October,9.00,6.80,3.50,12.50,4.50,5.50,9.70,8.50,1.90,8.30,,
November,5.60,7.50,6.00,5.40,6.80,7.50,6.40,9.30,8.10,3.60,,
December,10.70,5.20,6.90,6.50,6.60,6.20,8.30,8.20,9.00,8.10,,
Total,72.00,55.50,54.50,83.80,64.60,58.80,70.10,78.80,77.80,66.20,,
Calc annual,72.00,55.50,54.50,83.80,64.60,58.80,70.10,78.80,77.80,66.20,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
