"FYFIELD, TRUANT SCHOOL",,,,,,,,,,,,
Grid ref,TL562062,Long,0.260516,Lat,51.732753,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.06,,,,,
February,,,,,,,2.46,,,,,
March,,,,,,,1.66,,,,,
April,,,,,,,0.79,,,,,
May,,,,,,,1.73,,,,,
June,,,,,,,2.25,,,,,
July,,,,,,,1.15,,,,,
August,,,,,,,1.66,,,,,
September,,,,,,,1.64,,,,,
October,,,,,,,4.39,,,,,
November,,,,,,,3.97,,,,,
December,,,,,,,1.37,,,,,
Total,20.69,20.46,19.42,35.54,20.72,20.70,27.13,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.13,0.00,0.00,0.00,,
Difference,20.69,20.46,19.42,35.54,20.72,20.70,0.00,NaN,NaN,NaN,,
