"WILLINGHAM RECTORY",,,,,,,,,,,,
Grid ref,TL405704,Long,0.059665,Lat,52.313736,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.27,1.03,2.52,,,,,
February,,,,,2.46,0.91,1.47,,,,,
March,,,,,0.91,1.87,1.49,,,,,
April,,,,,0.58,1.25,0.49,,,,,
May,,,,,1.31,1.61,1.19,,,,,
June,,,,,,3.13,2.97,,,,,
July,,,,,1.50,0.67,1.17,,,,,
August,,,,,1.35,2.04,,,,,,
September,,,,,1.40,2.89,,,,,,
October,,,,,1.21,1.07,,,,,,
November,,,,,0.98,1.40,,,,,,
December,,,,,1.37,0.68,,,,,,
Total,,,,,,18.55,,,,,,
Calc annual,0.00,0.00,0.00,0.00,14.34,18.55,11.30,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
