"BUCHAN NESS LIGHTHOUSE",,,,,,,,,,,,
Grid ref,NK136422,Long,-1.774917,Lat,57.469869,,,,,,,
Station no,RR157,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.16,1.72,1.10,2.00,2.40,0.80,0.33,1.85,1.42,1.46,,
February,3.45,2.33,1.38,1.20,3.10,1.19,1.28,0.80,0.41,0.30,,
March,2.14,1.23,1.18,1.02,1.60,2.41,1.52,0.57,2.13,3.16,,
April,0.93,1.64,2.75,0.58,1.08,2.04,0.79,2.11,2.60,2.56,,
May,0.46,1.12,2.21,1.23,2.45,0.77,4.75,3.15,1.13,2.72,,
June,0.67,1.78,1.17,0.45,0.25,0.60,0.43,4.15,0.50,1.65,,
July,2.45,2.02,3.29,4.35,0.00,1.56,0.66,2.27,0.99,2.70,,
August,2.08,1.59,1.20,3.35,1.45,1.86,3.72,4.42,1.83,1.79,,
September,1.40,1.48,0.86,1.78,1.00,1.79,1.20,0.84,4.08,2.22,,
October,2.58,3.12,0.83,2.65,0.60,3.14,3.02,2.34,2.34,2.21,,
November,4.74,1.87,1.22,1.15,0.45,4.32,1.91,2.40,1.36,4.06,,
December,2.28,3.49,0.80,0.90,3.03,1.20,0.55,0.82,1.65,3.15,,
Total,26.34,23.39,17.99,20.66,17.41,21.68,20.16,25.72,20.44,27.98,,
Calc annual,26.34,23.39,17.99,20.66,17.41,21.68,20.16,25.72,20.44,27.98,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
