"GLAISDALE THE GABLES GARDENS",,,,,,,,,,,,
Grid ref,NZ775054,Long,-0.806622,Lat,54.438114,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.54,2.41,-999.00,1.94,1.02,,
February,,,,,,1.37,3.12,1.87,1.82,1.57,,
March,,,,,,2.42,2.58,0.94,3.91,9.54,,
April,,,,,,2.52,0.99,1.78,2.95,3.94,,
May,,,,,,1.46,4.17,3.09,2.30,1.49,,
June,,,,,,1.85,0.89,2.69,0.71,4.56,,
July,,,,,,0.94,1.92,1.55,2.14,3.28,,
August,,,,,,1.93,1.98,2.06,2.21,3.93,,
September,,,,,,2.40,0.78,0.52,2.80,2.59,,
October,,,,,,4.88,5.22,6.34,1.41,3.88,,
November,,,,,,6.93,3.88,3.17,1.89,1.64,,
December,,,,,,1.02,2.00,3.56,2.75,4.86,,
Total,,,,,,28.26,29.94,32.79,26.83,42.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.26,29.94,27.57,26.83,42.30,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,5.22,-0.00,0.00,,
