"STRABANE BRODICK ARRAN",,,,,,,,,,,,
Grid ref,NS010369,Long,-5.159044,Lat,55.584969,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,4.05,9.58,8.78,,
February,,,,,,,,4.78,7.18,4.27,,
March,,,,,,,,8.23,7.67,3.42,,
April,,,,,,,,3.76,4.80,5.81,,
May,,,,,,,,7.20,2.80,2.72,,
June,,,,,,,2.14,5.76,3.42,4.88,,
July,,,,,,,4.25,2.73,5.55,5.30,,
August,,,,,,,6.48,8.46,5.16,4.78,,
September,,,,,,,3.14,3.76,8.38,3.15,,
October,,,,,,,10.49,4.66,2.65,8.78,,
November,,,,,,,8.80,7.42,8.20,5.22,,
December,,,,,,,8.73,9.76,6.95,9.42,,
Total,,,,,,,,70.57,72.34,66.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,44.03,70.57,72.34,66.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
