"DORNOCH",,,,,,,,,,,,
Grid ref,NH796895,Long,-4.031844,Lat,57.878669,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.76,2.51,2.10,2.93,1.07,2.42,,,,,,
February,1.41,2.68,0.76,2.67,3.12,2.77,,,,,,
March,2.01,2.06,1.44,2.31,0.51,3.69,,,,,,
April,2.13,1.18,1.25,2.23,3.29,2.04,,,,,,
May,1.24,1.82,1.91,1.52,1.36,1.29,,,,,,
June,2.03,1.96,2.43,1.11,0.74,0.51,,,,,,
July,4.88,2.46,2.32,4.32,0.49,1.85,,,,,,
August,3.71,2.38,1.34,3.44,2.85,3.76,,,,,,
September,1.65,1.50,0.96,1.78,1.95,1.56,,,,,,
October,2.79,2.85,1.39,4.91,2.08,2.98,,,,,,
November,3.17,2.00,0.73,3.23,2.23,3.61,,,,,,
December,3.79,3.10,2.78,2.04,1.98,1.01,,,,,,
Total,31.57,26.50,19.41,32.49,21.67,27.49,,,,,,
Calc annual,31.57,26.50,19.41,32.49,21.67,27.49,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
