"MORPETH BOTHALHAUGH GARDEN",,,,,,,,,,,,
Grid ref,NZ240862,Long,-1.624776,Lat,55.169533,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.04,1.95,0.91,3.15,1.78,0.38,2.28,0.71,1.50,1.51,,
February,4.97,1.57,1.35,1.16,2.08,0.81,1.05,1.38,1.50,1.71,,
March,2.34,1.95,0.99,1.09,1.47,1.74,1.10,1.04,2.83,4.74,,
April,1.43,0.88,1.31,1.61,1.24,3.03,0.64,1.53,2.43,3.06,,
May,1.60,3.44,3.06,1.93,2.82,1.20,5.31,4.11,1.79,1.87,,
June,4.53,1.43,2.49,2.52,2.13,0.45,1.58,3.02,0.40,1.71,,
July,2.36,2.69,2.45,4.06,0.95,1.36,2.01,1.22,2.30,2.70,,
August,5.60,4.06,1.88,3.12,3.21,2.95,3.75,2.69,2.37,2.83,,
September,0.93,0.99,0.90,2.47,1.13,1.30,0.55,0.43,2.14,1.74,,
October,6.88,1.89,2.37,9.46,0.46,3.04,5.40,5.39,1.61,2.45,,
November,3.54,4.86,1.11,2.69,3.90,5.10,2.63,1.83,1.65,1.03,,
December,1.97,3.40,3.85,2.28,2.17,0.45,2.82,3.31,1.33,3.04,,
Total,40.19,29.11,22.67,35.54,23.34,21.81,29.12,26.66,21.85,28.39,,
Calc annual,40.19,29.11,22.67,35.54,23.34,21.81,29.12,26.66,21.85,28.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
