"LISMORE CASTLE",,,,,,,,,,,,
Grid ref,IX0467498743,Long,-7.932444,Lat,52.140861,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.66,,
February,,,,,,,,,,1.88,,
March,,,,,,,,,,3.22,,
April,,,,,,,,,,7.85,,
May,,,,,,,,,,2.12,,
June,,,,,,,,,,1.37,,
July,,,,,,,,,,1.68,,
August,,,,,,,,,,0.58,,
September,,,,,,,,,,1.77,,
October,,,,,,,,,,6.46,,
November,,,,,,,,,,1.50,,
December,,,,,,,,,,4.90,,
Total,,,,,,,,,,35.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
