"STRACHAN BRIDGE OF DYE",,,,,,,,,,,,
Grid ref,NO644862,Long,-2.587102,Lat,56.965647,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.89,0.82,3.68,2.36,2.44,2.34,,
February,,,,,8.14,2.45,2.93,3.14,1.86,1.04,,
March,,,,,2.51,5.59,2.78,1.76,7.04,9.44,,
April,,,,,2.96,4.66,2.47,3.75,2.06,4.61,,
May,,,,,3.60,1.67,7.85,7.06,2.74,2.78,,
June,,,,1.73,1.19,0.97,0.75,7.75,1.90,2.73,,
July,,,,5.26,1.85,3.66,2.48,2.47,3.53,6.19,,
August,,,,3.79,4.52,5.77,5.69,2.85,2.71,2.51,,
September,,,,4.87,3.02,2.88,1.30,1.47,5.36,1.82,,
October,,,,9.15,1.15,3.21,6.69,7.13,4.62,4.64,,
November,,,,2.59,1.59,12.53,6.38,3.83,1.73,1.88,,
December,,,,6.08,3.10,1.58,5.22,5.31,5.85,5.72,,
Total,,,,,36.52,45.79,48.22,48.88,41.84,45.70,,
Calc annual,0.00,0.00,0.00,33.47,36.52,45.79,48.22,48.88,41.84,45.70,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
