"WAKEFIELD PRISON",,,,,,,,,,,,
Grid ref,SE324207,Long,-1.510940,Lat,53.681762,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.79,1.33,1.33,1.76,2.10,0.61,2.99,0.75,1.12,1.02,,
February,4.07,1.65,1.54,1.81,3.69,0.71,1.86,0.86,1.19,0.49,,
March,0.66,1.76,0.82,3.09,1.99,1.99,1.54,1.47,2.86,2.96,,
April,0.65,1.61,2.18,1.18,1.47,1.87,0.73,1.42,2.24,2.15,,
May,1.09,1.32,2.70,3.26,2.38,0.56,1.49,2.99,2.23,1.96,,
June,2.54,0.74,1.21,1.62,1.13,2.27,2.20,2.27,1.11,4.20,,
July,3.76,2.85,1.99,2.28,2.10,1.39,1.37,2.41,2.58,2.90,,
August,5.72,1.01,2.95,2.82,3.61,4.22,1.92,1.53,1.86,2.31,,
September,0.30,0.85,0.97,2.88,0.60,1.37,0.60,0.52,2.35,1.93,,
October,3.02,1.20,2.71,7.17,0.33,1.73,4.42,5.40,0.94,1.74,,
November,2.39,3.53,1.72,1.36,1.34,3.05,3.04,2.68,0.82,0.32,,
December,2.73,4.15,1.68,1.19,1.51,0.28,3.01,1.83,1.02,4.82,,
Total,29.72,22.00,21.80,30.42,22.25,20.05,25.17,24.13,20.32,26.80,,
Calc annual,29.72,22.00,21.80,30.42,22.25,20.05,25.17,24.13,20.32,26.80,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
