"BATTERSEA SOUTHWARK WATER WORKS",,,,,,,,,,,,
Grid ref,TQ290773,Long,-0.143740,Lat,51.479956,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.08,0.37,0.48,1.72,1.43,0.90,3.07,0.55,1.26,1.74,,
February,2.27,0.54,0.65,0.63,1.90,0.43,1.28,0.82,1.10,0.30,,
March,0.68,1.39,1.11,1.42,0.98,2.10,0.62,0.60,1.84,2.11,,
April,0.58,1.54,0.25,1.64,0.77,1.06,0.54,2.50,1.71,1.47,,
May,0.73,0.46,2.12,2.88,1.34,0.57,0.97,1.30,1.28,1.31,,
June,1.91,1.59,2.87,5.18,0.66,3.98,2.81,2.08,1.47,2.74,,
July,1.06,3.61,1.10,4.15,1.34,0.76,0.45,0.80,3.12,2.94,,
August,1.71,1.73,2.78,4.13,1.41,2.77,0.74,1.62,2.30,1.36,,
September,0.96,1.45,0.88,2.13,0.75,1.25,1.56,0.51,0.86,2.10,,
October,1.36,2.01,1.05,4.35,1.18,0.83,2.83,2.28,2.09,3.81,,
November,1.18,0.39,1.19,1.53,1.37,2.58,3.14,1.90,1.01,0.68,,
December,1.82,2.46,1.17,0.89,1.75,0.44,1.49,2.75,2.54,2.05,,
Total,16.34,17.54,15.65,30.65,14.88,17.67,19.50,17.71,20.58,22.61,,
Calc annual,16.34,17.54,15.65,30.65,14.88,17.67,19.50,17.71,20.58,22.61,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
