"BISHOP AUCKLAND THE CASTLE",,,,,,,,,,,,
Grid ref,NZ213302,Long,-1.671285,Lat,54.666433,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.25,,,,,,,,,,,
February,4.87,,,,,,,,,,,
March,1.49,,,,,,,,,,,
April,1.27,,,,,,,,,,,
May,1.43,,,,,,,,,,,
June,3.25,,,,,,,,,,,
July,1.24,,,,,,,,,,,
August,6.37,,,,,,,,,,,
September,0.86,,,,,,,,,,,
October,6.25,,,,,,,,,,,
November,2.81,,,,,,,,,,,
December,2.01,,,,,,,,,,,
Total,35.10,,,,,,,,,,,
Calc annual,35.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
