"WOLSINGHAM MARTAGON HOUSE",,,,,,,,,,,,
Grid ref,NZ075371,Long,-1.885063,Lat,54.728831,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.00,2.16,0.97,3.95,3.46,0.77,3.82,1.09,2.07,2.10,,
February,5.83,1.32,1.42,3.23,2.68,1.39,1.33,1.69,1.88,1.59,,
March,1.44,3.07,1.28,3.48,2.08,2.71,1.77,2.22,5.99,4.75,,
April,1.74,1.85,1.88,1.63,1.82,3.98,1.46,1.56,3.42,2.27,,
May,1.68,1.57,2.81,3.27,2.91,0.38,3.22,4.23,2.53,1.77,,
June,3.90,1.64,1.17,1.98,2.17,1.06,0.60,3.01,0.67,2.86,,
July,1.26,1.53,4.76,5.27,1.79,0.52,1.38,1.58,2.15,2.76,,
August,6.07,2.82,1.87,2.80,2.62,3.80,1.98,1.51,1.99,3.36,,
September,0.85,1.80,1.08,2.72,0.84,2.70,0.78,0.30,3.07,2.18,,
October,6.43,1.66,2.86,9.28,0.74,2.28,5.15,6.28,2.39,2.89,,
November,4.29,6.69,2.85,2.35,2.59,6.17,3.29,2.22,1.62,0.82,,
December,3.08,3.83,3.32,1.92,2.40,0.69,2.80,4.31,1.22,4.06,,
Total,41.57,29.94,26.27,41.88,26.10,26.45,27.58,30.00,29.00,31.41,,
Calc annual,41.57,29.94,26.27,41.88,26.10,26.45,27.58,30.00,29.00,31.41,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
