"SOUTHPORT LORD STREET STATION",,,,,,,,,,,,
Grid ref,SD330170,Long,-3.014990,Lat,53.645198,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.88,1.54,1.92,2.46,2.60,1.25,3.81,1.12,1.80,2.00,,
February,2.84,1.28,1.34,1.90,3.44,1.11,2.83,1.53,1.86,0.90,,
March,0.78,2.28,1.69,2.60,2.42,2.47,2.33,2.28,2.15,2.56,,
April,1.38,1.48,1.36,1.68,1.13,2.17,0.79,1.37,2.19,2.81,,
May,1.58,0.94,2.95,1.87,1.58,0.28,3.22,2.97,2.70,1.32,,
June,1.62,1.53,1.35,1.92,0.95,1.83,1.49,5.49,1.67,2.26,,
July,0.52,1.69,2.06,2.39,0.97,1.79,0.96,1.60,3.12,4.67,,
August,5.74,3.00,1.77,3.97,2.62,2.77,3.45,3.32,3.42,3.10,,
September,1.55,0.86,0.85,3.86,1.89,1.80,1.49,0.64,3.92,2.34,,
October,4.15,2.46,2.87,5.60,1.75,2.53,5.21,3.57,2.49,4.17,,
November,2.69,3.90,1.68,2.62,1.73,4.27,2.05,2.27,2.63,1.29,,
December,3.00,3.77,2.28,2.83,2.20,0.48,2.14,3.07,1.39,5.08,,
Total,29.73,24.73,22.12,33.70,23.28,22.75,29.77,29.23,29.34,32.50,,
Calc annual,29.73,24.73,22.12,33.70,23.28,22.75,29.77,29.23,29.34,32.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
