"SHEFFIELD WEST STREET",,,,,,,,,,,,
Grid ref,SK350873,Long,-1.475300,Lat,53.381396,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.50,1.91,1.13,2.99,2.71,,,,,,,
February,4.41,1.19,1.64,2.05,4.32,,,,,,,
March,0.71,2.17,1.36,3.05,1.75,,,,,,,
April,1.07,1.52,2.61,1.51,,,,,,,,
May,1.58,0.89,2.65,3.40,2.90,,,,,,,
June,2.64,0.97,1.55,1.09,,,,,,,,
July,2.28,3.13,1.76,2.18,,,,,,,,
August,4.13,1.05,4.23,4.06,,,,,,,,
September,0.39,0.69,1.43,3.19,,,,,,,,
October,2.26,1.74,2.59,5.78,,,,,,,,
November,2.42,3.97,2.56,1.22,,,,,,,,
December,4.01,6.08,2.34,1.50,,,,,,,,
Total,29.40,25.31,25.85,32.02,,,,,,,,
Calc annual,29.40,25.31,25.85,32.02,11.68,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
