"JOHNSHAVEN BROTHERTON",,,,,,,,,,,,
Grid ref,NO802677,Long,-2.325813,Lat,56.800407,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.54,,0.95,1.80,,,,,,,,
February,3.17,,1.50,2.03,,,,,,,,
March,2.09,,0.69,2.69,,,,,,,,
April,1.75,,2.27,1.93,,,,,,,,
May,1.10,,2.49,2.10,,,,,,,,
June,2.04,,2.34,3.07,,,,,,,,
July,3.16,,2.71,3.50,,,,,,,,
August,4.12,,1.50,2.21,,,,,,,,
September,1.98,,1.54,1.33,,,,,,,,
October,3.51,,0.91,2.72,,,,,,,,
November,4.57,,3.15,3.12,,,,,,,,
December,3.60,,2.12,2.40,,,,,,,,
Total,34.63,,22.17,28.90,,,,,,,,
Calc annual,34.63,0.00,22.17,28.90,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
