"GLASGOW TOLLCROSS PARK",,,,,,,,,,,,
Grid ref,NS636636,Long,-4.180087,Lat,55.846262,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.54,2.58,3.60,6.98,4.10,2.03,5.00,2.71,4.22,5.00,,
February,2.48,1.43,1.21,7.43,2.14,2.58,3.01,3.08,2.33,2.15,,
March,0.57,2.36,2.68,8.07,1.57,3.64,3.49,3.53,4.35,2.22,,
April,2.02,3.09,0.81,1.29,4.72,2.29,1.31,1.90,1.31,3.28,,
May,2.34,1.94,2.21,2.82,3.71,1.88,4.51,4.04,2.88,1.98,,
June,4.30,3.32,1.99,2.11,1.79,0.51,1.68,4.34,2.51,3.11,,
July,3.54,1.70,3.17,3.66,2.64,2.56,2.31,3.06,2.49,4.09,,
August,4.59,4.08,2.80,5.25,3.76,3.15,4.91,5.73,2.31,3.17,,
September,3.26,2.53,3.20,4.52,2.68,2.09,1.84,1.43,4.65,1.90,,
October,4.92,4.50,2.11,7.47,1.68,2.39,5.61,6.85,1.58,5.19,,
November,6.46,3.08,2.22,3.08,2.21,3.63,4.31,1.93,2.97,1.95,,
December,7.26,4.67,4.77,2.59,3.86,3.44,3.51,5.37,2.40,4.83,,
Total,47.28,35.28,30.77,55.27,34.86,30.19,41.49,43.97,34.00,38.87,,
Calc annual,47.28,35.28,30.77,55.27,34.86,30.19,41.49,43.97,34.00,38.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
