"NORTHAMPTON BERRY WOOD",,,,,,,,,,,,
Grid ref,SP711612,Long,-0.960075,Lat,52.244401,,,,,,,
Station no,1108,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,0.86,0.96,2.02,2.41,0.76,3.72,0.85,1.03,0.98,,
February,4.87,1.58,1.74,0.97,3.57,0.81,2.13,1.14,0.71,0.42,,
March,0.57,2.04,1.34,2.64,1.32,2.54,1.21,1.16,2.97,2.46,,
April,0.63,2.76,1.53,1.85,0.79,1.53,0.48,2.20,3.70,1.57,,
May,1.42,1.94,1.92,2.67,1.72,1.03,1.38,4.46,1.81,1.28,,
June,3.10,1.77,2.64,3.53,0.34,3.17,3.40,1.56,1.34,2.71,,
July,1.86,3.38,1.59,3.62,2.98,0.42,0.87,2.33,2.58,2.15,,
August,3.10,1.55,2.92,3.24,2.40,3.07,0.93,1.84,3.31,2.42,,
September,0.69,1.48,1.30,3.14,2.00,1.12,0.90,0.72,1.16,3.03,,
October,1.85,1.63,2.13,6.51,0.72,1.08,4.09,4.49,1.39,2.76,,
November,1.82,0.84,1.81,1.73,1.24,2.83,3.70,1.92,0.92,0.64,,
December,3.53,3.79,1.19,1.25,1.47,0.98,2.48,3.32,1.71,3.73,,
Total,26.78,23.62,21.07,33.17,20.96,19.34,25.29,25.99,22.63,24.15,,
Calc annual,26.78,23.62,21.07,33.17,20.96,19.34,25.29,25.99,22.63,24.15,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
