"KINGSTOWN HARBOUR YARD",,,,,,,,,,,,
Grid ref,IO2446828848,Long,-6.133750,Lat,53.295528,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.85,3.82,0.46,1.61,0.74,,
February,,,,,,0.66,1.31,1.25,0.89,0.44,,
March,,,,,,2.87,1.45,1.30,3.18,2.81,,
April,,,,,,2.43,1.35,2.45,2.10,3.89,,
May,,,,,,1.64,2.18,3.28,1.12,1.20,,
June,,,,,,1.52,0.86,2.11,1.19,3.03,,
July,,,,,,0.64,0.92,2.00,2.28,1.88,,
August,,,,,,6.72,1.53,2.14,3.47,0.78,,
September,,,,,,0.96,0.46,0.57,2.52,1.24,,
October,,,,,,0.63,3.33,5.34,2.11,2.93,,
November,,,,,,3.58,1.45,2.30,1.09,1.12,,
December,,,,,,1.69,1.73,2.14,2.46,3.86,,
Total,,,,,,25.19,20.39,25.34,24.02,23.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.19,20.39,25.34,24.02,23.92,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
