"ARDRISHAIG",,,,,,,,,,,,
Grid ref,NR852853,Long,-5.447440,Lat,56.012354,,,,,,,
Station no,5423,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.93,7.05,9.41,8.14,7.93,10.60,4.89,7.39,8.84,,
February,,3.82,2.80,9.85,5.87,6.80,6.50,6.88,6.69,3.75,,
March,,3.74,6.46,9.74,4.47,6.80,5.86,7.06,7.12,1.80,,
April,,6.29,2.79,3.13,7.20,4.49,3.33,3.84,2.03,5.31,,
May,,2.25,4.16,3.30,4.48,2.61,5.88,6.38,3.55,3.24,,
June,,4.87,1.65,2.29,3.99,1.71,1.74,6.00,3.77,2.79,,
July,,0.98,5.22,5.44,3.36,4.17,5.11,4.37,5.09,6.37,,
August,,5.87,3.28,9.87,4.71,6.21,5.89,8.48,6.46,5.51,,
September,,5.26,7.06,4.52,6.69,6.53,4.40,2.47,7.83,3.09,,
October,,8.91,5.04,11.65,5.06,7.07,10.50,5.62,2.12,8.29,,
November,,8.24,6.19,7.40,7.62,7.25,7.06,5.98,6.58,5.49,,
December,,6.89,7.42,6.28,6.96,6.33,9.16,8.22,7.37,6.50,,
Total,,63.05,59.12,82.88,68.55,67.90,76.03,70.19,66.00,60.98,,
Calc annual,0.00,63.05,59.12,82.88,68.55,67.90,76.03,70.19,66.00,60.98,,
Difference,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
