"SOUTHAMPTON RED LODGE",,,,,,,,,,,,
Grid ref,SU412160,Long,-1.414969,Lat,50.941976,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.85,,,,,,,,,,,
February,5.43,,,,,,,,,,,
March,1.24,,,,,,,,,,,
April,1.48,,,,,,,,,,,
May,1.95,,,,,,,,,,,
June,2.67,,,,,,,,,,,
July,0.80,,,,,,,,,,,
August,3.54,,,,,,,,,,,
September,0.84,,,,,,,,,,,
October,1.79,,,,,,,,,,,
November,3.07,,,,,,,,,,,
December,4.09,,,,,,,,,,,
Total,30.75,,,,,,,,,,,
Calc annual,30.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
