"DUNFORD BRIDGE DEARDEN RESERVOIR",,,,,,,,,,,,
Grid ref,SE152025,Long,-1.772226,Lat,53.518956,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.81,2.09,4.58,6.10,5.75,1.23,5.80,1.96,4.55,3.15,,
February,2.74,2.02,0.64,6.42,4.88,2.27,4.47,3.59,2.66,2.93,,
March,2.41,5.10,3.55,6.80,1.95,7.31,5.78,4.78,2.99,2.78,,
April,3.03,4.08,3.24,3.05,5.32,5.13,1.10,2.94,1.95,4.31,,
May,2.25,0.87,3.39,5.31,3.17,1.50,4.60,5.36,4.65,2.16,,
June,2.92,2.03,2.29,1.99,1.56,2.74,2.42,7.91,2.42,4.44,,
July,3.80,5.22,2.85,3.86,2.06,2.81,2.94,3.24,4.52,5.85,,
August,8.00,3.00,4.83,6.44,5.38,4.38,4.33,4.91,3.07,4.39,,
September,1.65,0.88,2.36,6.27,1.86,3.86,1.99,0.83,4.34,3.46,,
October,5.23,3.82,6.76,12.34,2.20,4.43,6.27,6.26,1.72,7.27,,
November,3.90,8.28,2.73,4.33,4.94,5.30,9.52,6.09,3.64,0.83,,
December,8.71,5.61,4.19,3.47,3.59,4.12,4.29,5.46,2.84,9.30,,
Total,52.45,43.00,41.41,66.38,42.66,45.08,53.51,53.33,39.35,50.87,,
Calc annual,52.45,43.00,41.41,66.38,42.66,45.08,53.51,53.33,39.35,50.87,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
