"MUCKRACH LODGE (GRANTOWN)",,,,,,,,,,,,
Grid ref,NH998250,Long,-3.664741,Lat,57.304548,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.87,2.59,1.76,3.55,1.45,1.57,2.18,2.21,1.76,3.69,,
February,2.25,2.93,0.99,3.86,1.86,2.10,2.68,2.02,3.32,1.53,,
March,1.89,2.62,2.68,3.20,0.84,3.56,3.47,1.77,4.37,3.61,,
April,2.62,2.70,1.10,2.38,2.36,2.60,2.11,2.33,2.83,2.91,,
May,1.64,1.39,4.40,1.83,2.18,1.70,6.82,2.46,1.26,2.41,,
June,2.74,3.63,3.82,2.13,1.02,0.34,0.69,4.59,1.72,1.23,,
July,4.06,1.98,4.74,4.62,1.51,1.89,1.63,2.77,2.40,4.25,,
August,4.50,3.56,3.14,3.60,4.04,3.71,4.30,3.02,1.95,2.15,,
September,2.65,0.73,1.55,2.35,2.03,1.48,1.52,0.73,5.15,2.25,,
October,3.61,2.60,2.27,3.58,1.42,3.89,6.29,2.95,0.68,4.28,,
November,2.88,2.74,0.61,2.73,2.53,3.71,7.20,1.95,2.30,1.62,,
December,3.24,4.23,4.64,0.88,2.35,1.13,2.96,1.50,1.07,2.64,,
Total,35.95,31.70,31.70,34.71,23.59,27.68,41.85,28.30,28.81,32.57,,
Calc annual,35.95,31.70,31.70,34.71,23.59,27.68,41.85,28.30,28.81,32.57,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
