"CASTLECOMER HOUSE",,,,,,,,,,,,
Grid ref,IS5386673047,Long,-7.201889,Lat,52.806000,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.61,4.92,2.93,5.85,4.66,2.99,3.96,1.18,2.79,2.58,,
February,3.54,1.58,1.82,3.14,4.68,1.61,2.64,2.18,2.05,0.91,,
March,1.39,2.94,3.06,6.59,3.65,4.38,2.49,1.73,4.96,3.12,,
April,2.87,3.15,3.02,1.56,2.32,3.43,2.16,3.36,1.90,5.50,,
May,3.51,2.11,2.42,3.75,2.82,1.26,3.34,2.59,2.31,2.49,,
June,4.30,2.62,3.62,3.40,2.14,1.62,1.34,4.40,2.63,2.96,,
July,2.57,1.08,2.76,4.59,2.90,1.34,1.79,5.91,6.07,3.26,,
August,5.15,3.50,,5.95,4.95,5.98,2.36,3.27,4.25,1.39,,
September,1.99,4.70,,4.01,3.77,1.55,1.25,1.83,7.49,2.42,,
October,4.36,3.94,1.54,5.33,1.88,1.39,6.01,6.29,3.09,6.32,,
November,7.99,3.08,4.95,2.54,2.23,3.29,1.64,4.06,3.05,1.65,,
December,4.33,4.17,3.46,3.47,2.30,2.09,3.59,4.57,4.29,3.71,,
Total,46.61,37.79,,50.18,38.30,30.93,32.57,41.37,44.88,36.31,,
Calc annual,46.61,37.79,29.58,50.18,38.30,30.93,32.57,41.37,44.88,36.31,,
Difference,0.00,0.00,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
