"CAPPERMORE, GLENSTAL CASTLE",,,,,,,,,,,,
Grid ref,IR7377756775,Long,-8.388333,Lat,52.661806,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,3.33,,
February,,,,,,,,,,1.35,,
March,,,,,,,,,,3.24,,
April,,,,,,,,,,6.28,,
May,,,,,,,,,,2.52,,
June,,,,,,,,,,2.69,,
July,,,,,,,,,,4.01,,
August,,,,,,,,,,1.41,,
September,,,,,,,,,,4.09,,
October,,,,,,,,,,6.64,,
November,,,,,,,,,,2.32,,
December,,,,,,,,,,4.67,,
Total,,,,,,,,,,42.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
