"BIGGAR SHIELDHILL",,,,,,,,,,,,
Grid ref,NT006404,Long,-3.580991,Lat,55.646939,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.53,0.69,3.01,2.77,,
February,,,,,,,1.06,0.91,1.18,1.67,,
March,,,,,,,1.24,1.62,4.32,3.49,,
April,,,,,,,0.79,0.37,1.39,2.05,,
May,,,,,,,4.30,1.66,2.78,2.12,,
June,,,,,,,1.79,1.80,1.88,2.02,,
July,,,,,,,1.77,1.81,1.88,3.56,,
August,,,,,,,4.69,3.98,2.69,2.39,,
September,,,,,,,0.41,0.55,4.07,2.35,,
October,,,,,,,5.44,7.46,0.54,5.90,,
November,,,,,,,2.11,1.63,1.66,1.05,,
December,,,,,,,1.14,3.15,1.09,3.40,,
Total,,,,,,,28.27,25.63,26.49,32.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.27,25.63,26.49,32.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
