"NORTHMAVINE  LOCHEND",,,,,,,,,,,,
Grid ref,HU368842,Long,-1.331126,Lat,60.539685,,,,,,,
Station no,RR6,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,5.96,5.43,6.50,5.62,4.79,,
February,,,,,,4.77,5.53,4.05,4.28,2.46,,
March,,,,,,2.61,4.63,3.98,3.41,2.54,,
April,,,,,,3.11,3.10,2.38,2.08,2.86,,
May,,,,,,1.82,4.07,1.46,2.18,2.42,,
June,,,,,,1.08,1.17,2.93,2.85,1.52,,
July,,,,,,2.88,4.51,1.27,1.90,3.80,,
August,,,,,,3.06,2.92,4.25,2.08,2.55,,
September,,,,,,2.30,3.01,3.17,3.14,2.04,,
October,,,,,,6.21,4.94,4.77,1.47,6.00,,
November,,,,,,5.54,4.63,6.25,5.43,5.04,,
December,,,,,,4.35,5.90,3.16,6.82,5.30,,
Total,,,,,,43.69,49.84,44.17,41.26,41.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,43.69,49.84,44.17,41.26,41.32,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
