"SOUTHAMPTON BITTERNE PARK",,,,,,,,,,,,
Grid ref,SU442137,Long,-1.372551,Lat,50.921073,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.82,,
February,,,,,,,,,,0.39,,
March,,,,,,,,,,3.81,,
April,,,,,,,,,,1.38,,
May,,,,,,,,,,1.60,,
June,,,,,,,,,,5.94,,
July,,,,,,,,,,2.79,,
August,,,,,,,,,,2.34,,
September,,,,,,,,,,4.25,,
October,,,,,,,,,,9.17,,
November,,,,,,,,,,0.66,,
December,,,,,,,,,,4.39,,
Total,,,,,,,,,,37.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
