"KELSO HOLEFIELD",,,,,,,,,,,,
Grid ref,NT809346,Long,-2.304712,Lat,55.604633,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.10,,,,,,,,,
February,,,1.31,,,,,,,,,
March,,,0.73,,,,,,,,,
April,,,1.64,,,,,,,,,
May,,,3.35,,,,,,,,,
June,,,2.27,,,,,,,,,
July,,,1.71,,,,,,,,,
August,,,1.68,,,,,,,,,
September,,,0.91,,,,,,,,,
October,,,1.80,,,,,,,,,
November,,,0.77,,,,,,,,,
December,,,2.30,,,,,,,,,
Total,,,19.57,,,,,,,,,
Calc annual,0.00,0.00,19.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
