"USHAW COLLEGE",,,,,,,,,,,,
Grid ref,NZ219437,Long,-1.660973,Lat,54.787724,,,,,,,
Station no,3541,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.79,1.17,0.72,2.82,2.36,0.46,2.43,0.66,1.56,1.13,,
February,3.92,1.14,1.22,1.57,2.05,0.87,1.08,1.19,1.82,1.19,,
March,1.36,2.10,0.81,1.85,1.42,1.58,1.40,1.02,4.09,4.79,,
April,1.39,1.15,1.58,1.36,1.15,3.07,1.16,2.45,3.66,2.51,,
May,1.26,1.95,2.65,3.26,3.42,0.47,4.07,4.07,2.12,1.55,,
June,4.33,1.17,2.02,3.18,1.63,1.01,0.81,3.65,0.68,1.98,,
July,1.32,3.82,3.32,4.34,1.19,0.83,1.72,1.58,2.66,2.63,,
August,5.75,2.77,2.23,2.10,2.56,2.93,2.13,1.66,2.64,4.17,,
September,0.75,1.56,1.07,2.67,1.32,2.24,0.73,0.39,2.24,2.29,,
October,6.21,2.27,2.74,8.26,0.74,2.16,4.74,5.98,1.80,2.44,,
November,3.47,5.36,1.54,2.07,2.35,4.63,3.24,2.10,1.15,0.64,,
December,3.15,2.54,2.81,1.36,2.10,0.84,2.61,3.34,0.82,3.99,,
Total,36.70,27.00,22.71,34.84,22.29,21.09,26.12,28.09,25.24,29.31,,
Calc annual,36.70,27.00,22.71,34.84,22.29,21.09,26.12,28.09,25.24,29.31,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
