"BRIDGNORTH CANTREYN",,,,,,,,,,,,
Grid ref,SO698951,Long,-2.446837,Lat,52.552898,,,,,,,
Station no,2280,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.27,0.97,1.12,,
February,,,,,,,,1.28,1.27,0.72,,
March,,,,,,,,0.99,2.98,2.44,,
April,,,,,,,,1.88,2.84,2.21,,
May,,,,,,,,2.75,2.44,1.05,,
June,,,,,,,,2.64,2.60,3.58,,
July,,,,,,,,2.07,2.51,3.12,,
August,,,,,,,,2.86,3.51,1.96,,
September,,,,,,,,0.74,1.81,2.85,,
October,,,,,,,,5.71,2.01,3.36,,
November,,,,,,,,2.42,1.88,0.54,,
December,,,,,,,,2.72,2.58,4.08,,
Total,,,,,,,,27.33,27.40,27.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.33,27.40,27.03,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
