"RICHMOND THE GROVE - GILLING WEST",,,,,,,,,,,,
Grid ref,NZ183049,Long,-1.719360,Lat,54.439186,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.43,1.77,0.98,4.14,3.03,0.86,4.61,0.85,1.33,1.03,,
February,6.06,1.48,1.69,3.19,3.03,1.76,1.40,1.54,2.82,1.29,,
March,1.47,3.04,1.37,4.57,,2.70,1.55,1.74,3.30,4.76,,
April,2.14,1.97,1.67,1.16,2.05,3.09,0.63,1.23,2.70,2.05,,
May,1.83,1.61,3.52,5.40,4.49,0.76,3.71,4.02,2.02,1.72,,
June,3.99,1.69,1.37,2.73,2.11,2.58,0.83,3.42,0.63,2.46,,
July,1.75,5.03,2.97,4.00,2.62,0.77,1.43,2.34,2.97,2.11,,
August,8.16,2.13,2.85,2.96,3.97,4.93,2.90,1.39,1.88,3.50,,
September,0.66,1.75,1.06,3.50,0.74,2.67,0.52,0.52,3.09,2.15,,
October,5.20,1.88,3.72,10.16,0.90,1.97,5.27,5.81,2.17,2.54,,
November,3.59,5.88,2.64,1.71,2.17,6.36,2.75,2.27,1.13,0.56,,
December,3.43,4.07,3.34,2.49,2.59,1.05,2.19,3.46,1.33,4.45,,
Total,42.71,32.30,27.18,46.01,,29.50,27.79,28.59,25.37,28.62,,
Calc annual,42.71,32.30,27.18,46.01,27.70,29.50,27.79,28.59,25.37,28.62,,
Difference,0.00,0.00,0.00,-0.00,NaN,0.00,0.00,0.00,-0.00,0.00,,
