"EXETER MANSTON TERRACE",,,,,,,,,,,,
Grid ref,SX933923,Long,-3.512893,Lat,50.720498,,,,,,,
Station no,RR88,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.40,3.54,1.24,3.04,3.92,,,,,,,
February,5.42,1.22,2.09,1.98,5.58,,,,,,,
March,1.16,3.23,1.72,2.98,1.97,,,,,,,
April,1.16,3.11,1.56,2.02,0.86,,,,,,,
May,1.57,1.42,2.02,3.50,2.18,,,,,,,
June,1.98,2.53,2.24,2.70,0.85,,,,,,,
July,1.11,2.68,2.44,3.64,6.10,,,,,,,
August,1.58,0.99,2.85,3.41,2.32,,,,,,,
September,0.80,2.55,2.08,3.67,1.99,,,,,,,
October,2.26,1.69,2.45,6.17,1.38,,,,,,,
November,4.39,0.92,4.08,1.53,1.75,,,,,,,
December,4.56,5.62,2.37,4.19,2.83,,,,,,,
Total,30.39,29.50,27.14,38.83,31.73,,,,,,,
Calc annual,30.39,29.50,27.14,38.83,31.73,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
