"TORTWORTH COURT",,,,,,,,,,,,
Grid ref,ST693925,Long,-2.444934,Lat,51.630468,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.98,1.61,1.81,3.54,3.81,0.58,4.13,1.25,1.49,1.32,,
February,6.36,1.39,0.91,1.66,4.72,0.56,1.95,1.55,1.45,0.64,,
March,1.32,2.32,1.70,4.14,1.31,4.11,1.80,0.78,2.75,3.23,,
April,1.48,3.25,1.38,2.66,1.85,2.99,1.07,2.70,2.56,2.49,,
May,2.13,1.29,1.58,4.03,2.38,0.17,1.90,2.68,1.43,1.10,,
June,1.75,2.48,2.76,4.05,1.01,3.60,2.14,3.99,0.67,3.15,,
July,0.93,3.11,0.75,4.18,4.20,0.63,0.91,2.25,2.21,2.04,,
August,3.00,2.35,3.84,3.97,2.57,4.18,1.54,1.89,5.03,2.40,,
September,0.63,1.97,1.90,3.04,2.01,1.08,0.60,0.67,3.05,3.59,,
October,4.10,1.38,2.00,7.85,0.62,1.59,5.11,6.06,2.33,5.34,,
November,2.83,0.89,2.77,1.72,1.82,3.44,3.13,2.93,1.16,1.51,,
December,6.28,5.10,3.03,2.42,2.03,0.87,1.39,6.28,2.31,4.79,,
Total,34.79,27.14,24.43,43.26,28.33,23.80,25.67,33.03,26.44,31.60,,
Calc annual,34.79,27.14,24.43,43.26,28.33,23.80,25.67,33.03,26.44,31.60,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
