"BURNSALL RECTORY",,,,,,,,,,,,
Grid ref,SE032615,Long,-1.952617,Lat,54.049454,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.17,3.08,3.17,5.58,4.17,1.86,7.00,2.25,4.68,2.57,,
February,5.43,1.61,1.65,5.51,4.55,2.95,3.51,2.81,3.67,3.12,,
March,0.83,4.66,2.63,7.57,2.82,4.04,3.21,3.98,4.45,3.65,,
April,3.06,3.00,2.00,2.60,3.88,3.38,1.40,2.78,3.03,4.47,,
May,1.80,1.69,2.60,3.09,3.80,0.55,5.17,3.88,2.92,2.59,,
June,4.18,1.50,1.27,2.13,2.20,2.29,1.67,6.66,4.93,2.48,,
July,2.60,1.90,2.84,4.22,1.55,1.08,1.98,2.55,4.18,5.03,,
August,5.96,3.50,2.21,4.83,3.98,4.68,5.11,3.76,3.90,3.29,,
September,1.52,1.97,1.80,4.74,1.64,3.54,1.31,0.94,4.46,2.96,,
October,7.07,2.63,3.67,10.43,1.57,2.93,7.73,6.44,2.21,4.60,,
November,5.85,6.46,2.80,2.49,4.39,5.58,5.71,3.31,3.46,2.48,,
December,5.72,7.47,4.15,3.84,3.48,1.77,3.32,7.18,3.07,6.14,,
Total,51.19,39.47,30.79,57.03,38.03,34.65,47.12,46.54,44.96,43.38,,
Calc annual,51.19,39.47,30.79,57.03,38.03,34.65,47.12,46.54,44.96,43.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
