"TAFF FECHAN PENTWYN RESERVOIR",,,,,,,,,,,,
Grid ref,SO056145,Long,-3.371022,Lat,51.821122,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.45,5.32,3.62,10.40,10.15,2.17,9.96,4.16,5.32,3.46,,
February,8.37,2.28,2.98,6.83,9.53,3.06,5.14,3.62,3.74,1.34,,
March,1.60,5.86,3.76,11.18,3.70,9.27,4.75,3.44,6.66,6.49,,
April,3.15,6.52,3.59,3.07,4.51,7.18,1.60,6.47,4.04,4.78,,
May,4.24,1.39,3.15,5.82,4.04,0.43,5.07,4.20,4.95,2.52,,
June,4.69,3.62,3.90,2.76,2.30,4.52,3.17,7.33,1.69,4.30,,
July,2.36,2.58,2.64,4.02,4.16,1.95,2.17,4.38,6.33,4.99,,
August,5.93,4.64,3.95,9.35,5.17,7.44,4.68,7.15,8.94,2.60,,
September,3.00,4.31,3.89,6.58,3.46,3.61,2.05,1.56,3.91,5.20,,
October,9.09,3.80,5.39,15.62,3.68,3.77,9.58,10.29,5.16,13.43,,
November,7.33,3.61,6.42,3.98,4.12,6.26,6.89,4.36,4.02,2.96,,
December,12.62,10.02,6.50,6.46,6.19,2.56,4.55,9.55,6.49,13.50,,
Total,69.83,53.95,49.79,86.07,61.01,52.22,59.61,66.51,61.25,65.57,,
Calc annual,69.83,53.95,49.79,86.07,61.01,52.22,59.61,66.51,61.25,65.57,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
