"HUTTON JOHN",,,,,,,,,,,,
Grid ref,NY439269,Long,-2.870605,Lat,54.634091,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,3.02,9.40,2.15,5.00,3.95,,
February,,,,,,3.74,3.78,3.59,5.05,5.06,,
March,,,,,,4.90,3.38,5.01,5.36,3.33,,
April,,,,,,3.28,1.43,1.80,2.27,3.20,,
May,,,,,,1.27,6.12,6.16,2.93,1.48,,
June,,,,,,1.65,1.25,5.18,2.23,3.20,,
July,,,,,,1.34,2.49,2.03,2.59,5.85,,
August,,,,,,3.83,5.05,4.17,5.14,2.96,,
September,,,,,,4.82,1.75,0.37,4.17,2.92,,
October,,,,,,3.59,7.09,7.95,1.87,7.50,,
November,,,,,,5.25,4.92,4.37,3.23,2.76,,
December,,,,,,3.26,3.85,7.67,3.27,6.57,,
Total,,,,,,39.95,50.51,50.45,43.11,48.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,39.95,50.51,50.45,43.11,48.78,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
