"BRANDESBURTON HEMPHOLM LOCK",,,,,,,,,,,,
Grid ref,TA080498,Long,-0.356496,Lat,53.933067,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.09,1.19,1.28,1.48,1.75,0.57,2.63,0.93,1.31,0.69,,
February,3.22,2.27,1.09,0.86,2.34,0.99,1.66,1.45,1.58,1.25,,
March,0.78,2.08,1.34,2.25,1.64,1.78,1.63,1.17,2.43,3.57,,
April,1.00,1.56,1.13,1.94,1.02,1.67,1.04,1.52,2.86,2.05,,
May,1.32,0.54,1.88,3.05,1.67,0.64,1.71,3.04,2.18,1.38,,
June,2.12,1.54,2.23,1.89,0.89,1.59,1.01,3.15,0.92,4.56,,
July,1.04,1.10,1.89,2.87,2.91,1.60,1.83,0.86,2.58,2.95,,
August,4.55,3.49,1.85,2.53,3.16,3.14,2.74,2.50,2.19,4.80,,
September,1.15,0.65,0.50,2.87,1.08,1.53,0.64,0.68,2.09,1.53,,
October,2.37,1.57,2.37,6.03,1.10,2.06,4.55,4.12,1.15,2.69,,
November,2.34,3.76,1.08,1.88,2.07,3.55,3.50,2.08,1.20,0.81,,
December,3.25,3.88,2.19,1.10,1.67,0.33,1.91,3.01,1.94,3.91,,
Total,26.23,23.63,18.83,28.75,21.30,19.45,24.85,24.51,22.43,30.19,,
Calc annual,26.23,23.63,18.83,28.75,21.30,19.45,24.85,24.51,22.43,30.19,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
