"STONEYKIRK ARDWELL HOUSE",,,,,,,,,,,,
Grid ref,NX102455,Long,-4.951990,Lat,54.768444,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.63,2.58,2.29,5.00,2.97,1.47,3.77,1.96,2.76,1.75,,
February,2.98,1.64,2.66,2.17,3.84,2.05,1.56,1.75,2.27,2.51,,
March,0.87,2.68,2.05,4.00,2.50,2.49,1.59,3.41,3.53,3.57,,
April,2.49,2.83,1.82,1.28,1.69,2.30,1.02,2.55,2.42,2.64,,
May,3.25,2.51,2.91,3.94,2.37,0.84,5.12,4.18,1.78,1.07,,
June,1.79,3.12,2.37,2.92,2.19,1.51,1.68,5.74,2.83,4.15,,
July,3.46,1.29,3.06,3.34,4.08,1.46,3.11,2.42,2.83,4.74,,
August,5.02,3.57,4.15,4.13,4.76,4.99,4.11,4.33,3.44,1.96,,
September,2.61,3.49,4.22,3.19,3.87,2.47,1.19,1.37,4.59,1.99,,
October,4.28,5.28,1.93,9.46,2.13,3.08,5.90,6.54,2.02,7.33,,
November,5.66,4.22,5.15,3.35,3.65,4.91,3.25,5.40,3.33,2.76,,
December,4.90,4.91,3.47,3.09,2.80,1.23,4.95,4.28,5.83,5.30,,
Total,40.94,38.12,36.08,45.87,36.85,28.80,37.25,43.93,37.63,39.77,,
Calc annual,40.94,38.12,36.08,45.87,36.85,28.80,37.25,43.93,37.63,39.77,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
