"THIRSK DALTON",,,,,,,,,,,,
Grid ref,SE435764,Long,-1.334989,Lat,54.181543,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.41,2.71,0.63,0.99,0.70,,
February,,,,,,0.79,1.57,1.39,1.43,0.65,,
March,,,,,,1.79,1.22,0.93,3.21,3.28,,
April,,,,,,2.08,0.84,1.68,2.03,2.41,,
May,,,,,,0.91,2.61,3.53,1.63,1.27,,
June,,,,,,1.45,1.20,3.50,0.51,1.84,,
July,,,,,,1.31,1.24,1.78,3.20,2.61,,
August,,,,,,2.52,1.74,1.91,1.50,3.22,,
September,,,,,,1.93,0.45,0.66,2.39,1.62,,
October,,,,,,1.33,5.01,3.37,1.16,2.02,,
November,,,,,,3.56,2.40,2.41,1.29,0.70,,
December,,,,,,0.42,1.74,2.57,1.50,3.88,,
Total,,,,,,18.50,22.73,24.36,20.84,24.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.50,22.73,24.36,20.84,24.20,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
