"VENTNOR ST BONIFACE ROAD",,,,,,,,,,,,
Grid ref,SZ567778,Long,-1.200253,Lat,50.597179,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.78,,6.95,1.00,,,,
February,,,,,5.60,,3.51,1.20,,,,
March,,,,,2.78,,1.74,0.67,,,,
April,,,,,2.84,,1.36,4.02,,,,
May,,,,,8.04,,2.95,2.42,,,,
June,,,,,3.32,,1.52,1.75,,,,
July,,,,2.90,1.48,,1.33,1.11,,,,
August,,,,4.74,3.72,2.74,0.23,1.29,,,,
September,,,,5.80,4.28,4.09,1.88,1.10,,,,
October,,,,8.92,3.50,2.62,4.42,,,,,
November,,,,3.14,2.22,5.74,5.46,,,,,
December,,,,3.10,6.16,0.86,2.22,,,,,
Total,,,,,-999.00,,33.57,,,,,
Calc annual,0.00,0.00,0.00,28.60,50.72,16.05,33.57,14.56,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-1049.72,NaN,0.00,NaN,NaN,NaN,,
