"CAMPBELTOWN SOUTH PARK",,,,,,,,,,,,
Grid ref,NR724197,Long,-5.597779,Lat,55.418206,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,6.70,6.22,,6.51,3.39,5.30,6.25,,
February,,,,3.77,5.16,,5.14,3.75,4.12,3.26,,
March,,,,7.40,2.93,,3.41,5.83,6.50,3.88,,
April,,,,2.09,4.53,,2.56,3.14,4.76,4.66,,
May,,,,3.96,2.71,,5.29,6.32,2.13,2.84,,
June,,,,2.02,2.76,,1.62,5.19,2.15,2.53,,
July,,,,5.53,2.68,,3.34,3.27,4.15,4.53,,
August,,,,6.97,5.89,,4.48,6.14,4.20,3.23,,
September,,,,3.91,6.50,,2.60,1.65,6.16,2.41,,
October,,,,12.56,3.21,,7.44,5.99,2.83,5.38,,
November,,,,5.73,5.48,,6.27,4.92,4.36,2.28,,
December,,,,6.97,5.40,,5.76,6.38,5.54,6.00,,
Total,,,,67.61,53.47,,54.42,55.97,52.20,47.25,,
Calc annual,0.00,0.00,0.00,67.61,53.47,0.00,54.42,55.97,52.20,47.25,,
Difference,NaN,NaN,NaN,-0.00,-0.00,NaN,0.00,-0.00,0.00,-0.00,,
