"ST AUSTELL BUNNEY MINE",,,,,,,,,,,,
Grid ref,SX007572,Long,-4.804599,Lat,50.380841,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,4.02,,,,,,
February,,,,,,2.23,,,,,,
March,,,,,,7.35,,,,,,
April,,,,,,4.94,,,,,,
May,,,,,,1.15,,,,,,
June,,,,,,4.15,,,,,,
July,,,,,,1.19,,,,,,
August,,,,,,8.45,,,,,,
September,,,,,,2.03,,,,,,
October,,,,,,3.48,,,,,,
November,,,,,,8.72,,,,,,
December,,,,,,3.31,,,,,,
Total,,,,,,51.02,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,51.02,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
