"LICHFIELD WALSALL ROAD",,,,,,,,,,,,
Grid ref,SK110091,Long,-1.838734,Lat,52.679490,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.15,,,,,,,,
February,,,,1.04,,,,,,,,
March,,,,3.93,,,,,,,,
April,,,,1.79,,,,,,,,
May,,,,2.86,,,,,,,,
June,,,,1.16,,,,,,,,
July,,,,2.02,,,,,,,,
August,,,,4.59,,,,,,,,
September,,,,3.13,,,,,,,,
October,,,2.47,5.22,,,,,,,,
November,,,2.09,2.13,,,,,,,,
December,,,1.83,1.69,,,,,,,,
Total,30.25,,25.53,31.71,,,,,,,,
Calc annual,0.00,0.00,6.39,31.71,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,30.25,NaN,19.14,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
