"DUNFORD BRIDGE RESERVOIR",,,,,,,,,,,,
Grid ref,SE156024,Long,-1.766198,Lat,53.518046,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.54,3.01,4.29,5.45,5.45,2.39,5.72,2.18,4.90,2.88,,
February,3.60,1.64,1.10,6.22,6.07,2.82,4.10,3.31,3.91,2.81,,
March,1.20,4.94,2.85,7.83,3.08,5.46,4.84,4.51,4.28,4.45,,
April,2.91,3.19,3.02,3.46,4.07,3.75,1.26,3.36,2.98,3.33,,
May,2.01,1.37,3.55,4.48,3.55,0.68,4.31,5.27,3.23,2.36,,
June,3.16,1.52,2.04,2.14,1.10,3.21,1.87,7.04,2.58,5.08,,
July,4.01,5.69,3.14,3.43,1.97,2.13,3.15,2.96,4.34,6.98,,
August,6.41,2.02,4.29,6.49,5.19,4.79,3.99,4.14,3.84,3.52,,
September,1.32,0.77,2.40,6.77,1.73,2.66,1.60,0.85,3.75,4.48,,
October,6.21,3.19,6.39,11.88,1.71,3.81,8.22,7.96,1.64,6.99,,
November,3.65,6.40,3.16,4.26,3.36,6.58,6.97,4.57,2.98,2.73,,
December,7.11,7.30,5.47,3.40,3.48,1.65,4.54,5.42,3.16,8.63,,
Total,49.13,41.04,41.70,65.81,40.76,39.93,50.57,51.57,41.59,54.24,,
Calc annual,49.13,41.04,41.70,65.81,40.76,39.93,50.57,51.57,41.59,54.24,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
