"PETERHEAD HM PRISON",,,,,,,,,,,,
Grid ref,NK125446,Long,-1.793134,Lat,57.491458,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.57,1.39,1.35,,0.66,0.95,0.58,1.03,0.62,,,
February,1.94,2.36,0.60,2.75,1.04,0.77,1.64,0.96,1.23,,,
March,0.76,1.14,1.54,0.75,1.36,,1.39,1.16,2.53,,,
April,0.98,2.24,1.94,1.50,1.19,2.17,1.66,0.63,1.50,,,
May,0.67,1.34,1.53,1.75,0.75,1.21,5.03,2.06,1.40,,,
June,1.30,1.50,1.43,1.38,0.88,1.43,0.34,2.93,1.65,,,
July,2.98,2.13,3.71,3.25,0.60,2.82,1.76,1.65,1.66,,,
August,1.58,1.99,3.20,3.64,2.10,2.09,,2.72,1.76,,,
September,2.15,1.45,2.00,3.28,2.47,1.84,1.12,0.93,2.38,,,
October,3.11,3.40,1.25,4.30,0.99,4.23,3.66,4.17,0.55,,,
November,2.56,2.25,1.27,2.42,0.73,3.79,3.08,1.59,,,,
December,1.52,3.72,2.50,1.59,1.07,0.52,2.05,2.31,,,,
Total,22.12,24.91,22.32,,13.84,,,22.14,,,,
Calc annual,22.12,24.91,22.32,26.61,13.84,21.82,22.31,22.14,15.28,0.00,,
Difference,0.00,0.00,0.00,NaN,-0.00,NaN,NaN,0.00,NaN,NaN,,
