"HAMPSTEAD BURRARD ROAD",,,,,,,,,,,,
Grid ref,TQ252855,Long,-0.195521,Lat,51.554502,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.54,2.19,1.19,4.01,,,,,
February,,,,0.78,2.22,0.74,2.18,,,,,
March,,,,2.09,1.66,2.49,1.43,,,,,
April,,,,2.00,0.94,1.68,0.63,,,,,
May,,,,2.83,1.82,1.18,1.92,,,,,
June,,,,6.23,0.87,3.19,2.68,,,,,
July,,,,4.74,3.00,1.35,0.56,,,,,
August,,,,4.09,1.78,2.13,1.15,,,,,
September,,,,3.20,1.35,1.77,2.09,,,,,
October,,,,5.46,1.42,1.60,3.69,,,,,
November,,,,1.73,1.83,3.64,4.76,,,,,
December,,,,1.29,1.75,1.02,2.46,,,,,
Total,,,,35.98,20.83,21.98,27.56,,,,,
Calc annual,0.00,0.00,0.00,35.98,20.83,21.98,27.56,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
