"WEARDALE WW WASKERLEY NO.5 MILLSTONE QUARRY",,,,,,,,,,,,
Grid ref,NZ027433,Long,-1.959541,Lat,54.784595,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.27,1.11,0.83,3.05,2.66,0.35,2.87,0.43,1.42,1.09,,
February,5.07,0.75,0.84,2.54,2.41,0.48,0.87,1.53,1.21,1.31,,
March,1.24,1.25,0.52,3.40,2.23,3.00,1.26,1.33,4.86,3.31,,
April,1.58,1.87,2.34,1.77,1.88,1.74,1.62,1.81,3.41,2.42,,
May,1.54,1.77,2.10,3.31,1.96,1.55,4.49,3.21,2.58,1.95,,
June,3.90,2.21,2.78,1.64,2.92,0.95,0.97,4.36,0.92,3.49,,
July,1.06,2.52,3.49,5.55,1.70,0.61,0.62,2.54,2.69,2.20,,
August,6.61,2.38,2.04,2.76,3.07,4.18,3.94,1.69,0.88,3.43,,
September,0.75,1.97,0.98,4.03,0.63,2.26,0.99,0.45,3.96,3.50,,
October,5.31,2.75,3.43,9.82,1.11,2.38,4.92,5.90,2.77,2.81,,
November,3.73,4.62,2.01,1.25,2.39,4.60,3.77,2.84,1.92,0.41,,
December,2.62,1.09,3.71,2.19,1.65,2.04,1.68,4.83,0.86,2.58,,
Total,37.68,24.29,25.07,41.31,24.61,24.14,28.00,30.92,27.48,28.50,,
Calc annual,37.68,24.29,25.07,41.31,24.61,24.14,28.00,30.92,27.48,28.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
