"THETFORD, KING'S HOUSE",,,,,,,,,,,,
Grid ref,TL869831,Long,0.746664,Lat,52.413961,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.39,1.29,1.01,,,,,,
February,,,,0.48,3.02,0.76,,,,,,
March,,,,1.53,0.88,2.38,,,,,,
April,,,,1.33,1.49,2.05,,,,,,
May,,,,3.04,1.91,0.65,,,,,,
June,,,,2.83,0.96,2.93,,,,,,
July,,,,2.89,1.90,1.89,,,,,,
August,,,,4.26,1.09,1.40,,,,,,
September,,,,3.02,2.34,2.18,,,,,,
October,,,,5.41,1.59,3.86,,,,,,
November,,,,1.73,1.07,1.43,,,,,,
December,,,,1.01,1.72,1.33,,,,,,
Total,22.32,19.87,19.06,28.92,19.26,21.87,,,,,,
Calc annual,0.00,0.00,0.00,28.92,19.26,21.87,0.00,0.00,0.00,0.00,,
Difference,22.32,19.87,19.06,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
