"HORTON CROWN INN",,,,,,,,,,,,
Grid ref,TQ016758,Long,-0.538585,Lat,51.472053,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.57,1.79,,,
February,,,,,,,,1.24,0.81,,,
March,,,,,,,,1.03,2.57,,,
April,,,,,,,,2.80,3.12,,,
May,,,,,,,,2.05,1.38,,,
June,,,,,,,,2.31,1.25,,,
July,,,,,,,,1.57,2.05,,,
August,,,,,,,,1.69,2.39,,,
September,,,,,,,,0.60,1.47,,,
October,,,,,,,,4.44,2.58,,,
November,,,,,,,,1.82,,,,
December,,,,,,,,3.04,,,,
Total,,,,,,,,23.16,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.16,19.41,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
