"HALTWHISTLE UNTHANK HALL",,,,,,,,,,,,
Grid ref,NY729630,Long,-2.424754,Lat,54.960890,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.39,,,,,,,,,,,
February,4.51,,,,,,,,,,,
March,0.90,,,,,,,,,,,
April,2.78,,,,,,,,,,,
May,2.26,,,,,,,,,,,
June,4.37,,,,,,,,,,,
July,1.50,,,,,,,,,,,
August,5.92,,,,,,,,,,,
September,2.15,,,,,,,,,,,
October,4.94,,,,,,,,,,,
November,5.24,,,,,,,,,,,
December,4.64,,,,,,,,,,,
Total,43.60,,,,,,,,,,,
Calc annual,43.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
