"DUNGANNON, KILLYMAN RECTORY",,,,,,,,,,,,
Grid ref,IH8450060900,Long,-6.696657,Lat,54.489636,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.44,,,
February,,,,,,,,,2.61,1.84,,
March,,,,,,,,,,2.78,,
April,,,,,,,,,,,,
May,,,,,,,,,3.10,,,
June,,,,,,,,,2.03,3.05,,
July,,,,,,,,,4.23,2.64,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,2.10,5.62,,
November,,,,,,,,,3.08,1.29,,
December,,,,,,,,,2.62,3.20,,
Total,,,,,,,,,35.59,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.21,20.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.38,NaN,,
