"BICTON COMMON INTAKE",,,,,,,,,,,,
Grid ref,SY037857,Long,-3.363890,Lat,50.662982,,,,,,,
Station no,1803,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.60,,,4.24,1.31,4.71,1.08,0.79,1.40,,
February,,0.50,,,6.35,0.85,3.48,1.45,1.69,0.42,,
March,,3.38,,,1.98,4.21,1.25,0.64,3.16,4.53,,
April,,2.87,,,1.02,2.97,1.50,4.67,2.75,1.84,,
May,1.65,0.94,,,2.78,0.86,2.55,2.62,1.93,1.17,,
June,2.37,1.59,,,1.01,2.71,2.48,1.82,0.43,3.11,,
July,0.24,3.51,,,5.42,0.44,1.25,1.33,1.84,2.47,,
August,2.42,0.79,,2.78,3.11,3.92,1.44,1.13,3.47,2.12,,
September,0.87,3.18,,3.82,1.72,1.54,0.96,0.60,2.65,1.73,,
October,1.72,1.07,,6.63,1.65,2.26,5.03,6.89,2.46,5.43,,
November,3.08,0.71,,1.56,1.64,4.66,2.87,3.15,1.10,0.41,,
December,4.47,5.67,,3.52,3.03,0.87,1.57,4.99,3.20,5.41,,
Total,,26.81,,,33.95,26.60,29.09,30.37,25.47,30.04,,
Calc annual,16.82,26.81,0.00,18.31,33.95,26.60,29.09,30.37,25.47,30.04,,
Difference,NaN,-0.00,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
