"POOLE PARKSTONE",,,,,,,,,,,,
Grid ref,SZ043923,Long,-1.940439,Lat,50.730303,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.78,2.32,1.13,2.77,,,,,,,,
February,5.24,2.16,1.69,1.95,,,,,,,,
March,1.18,2.54,2.53,3.56,,,,,,,,
April,1.35,2.72,1.64,3.23,,,,,,,,
May,1.56,0.85,2.43,2.67,,,,,,,,
June,2.38,1.44,3.13,2.48,,,,,,,,
July,0.42,1.87,1.88,3.25,,,,,,,,
August,2.56,2.04,4.31,4.16,,,,,,,,
September,1.16,3.90,1.71,2.32,,,,,,,,
October,2.82,2.98,2.42,9.21,,,,,,,,
November,4.22,0.65,4.14,1.74,,,,,,,,
December,5.88,4.92,1.72,3.56,,,,,,,,
Total,32.55,28.39,28.73,40.90,,,,,,,,
Calc annual,32.55,28.39,28.73,40.90,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
