"TAYPORT LOW LIGHT",,,,,,,,,,,,
Grid ref,NO450293,Long,-2.893911,Lat,56.452637,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.11,1.55,1.06,3.97,1.91,0.29,2.15,0.88,1.85,1.76,,
February,2.92,1.23,1.21,3.56,4.07,0.76,0.83,0.98,0.74,0.91,,
March,1.15,1.09,0.83,2.13,1.61,2.95,1.09,1.48,3.79,2.92,,
April,1.43,1.90,1.74,0.91,1.59,2.16,0.90,1.90,0.71,3.07,,
May,1.58,1.40,1.84,1.08,2.17,1.48,5.09,4.54,1.96,2.89,,
June,1.66,2.28,1.58,2.14,0.57,0.90,0.97,4.48,1.24,0.69,,
July,3.74,0.74,2.65,4.52,1.36,1.42,0.94,2.36,2.16,2.98,,
August,2.96,3.25,3.14,4.86,4.55,3.39,4.68,3.69,1.15,1.97,,
September,1.90,1.38,1.22,1.86,2.27,1.28,0.80,1.45,4.92,1.59,,
October,3.12,1.84,1.06,4.96,0.58,1.70,3.79,5.79,2.29,3.74,,
November,3.80,1.64,3.30,0.97,0.55,4.12,3.63,1.50,1.65,0.23,,
December,3.18,2.91,2.49,2.29,1.55,1.20,1.54,3.75,1.45,3.04,,
Total,30.55,21.21,22.12,33.25,22.78,21.65,26.41,32.80,23.91,25.79,,
Calc annual,30.55,21.21,22.12,33.25,22.78,21.65,26.41,32.80,23.91,25.79,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
