"GRANTHAM HIGH STREET",,,,,,,,,,,,
Grid ref,SK913358,Long,-0.643768,Lat,52.911880,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.84,0.91,1.11,1.70,1.73,0.65,2.75,1.01,1.04,0.94,,
February,4.52,1.39,1.32,0.71,2.80,0.69,2.20,1.23,1.42,0.47,,
March,0.72,2.02,1.10,3.18,1.59,1.58,1.50,0.99,2.49,3.25,,
April,1.09,1.55,1.86,1.77,0.96,1.99,0.66,2.58,2.41,1.28,,
May,1.68,1.20,2.99,2.65,1.81,0.47,1.67,3.74,1.42,1.09,,
June,1.94,1.24,2.37,1.71,0.38,3.42,2.66,2.67,1.18,2.67,,
July,1.23,3.08,1.23,1.50,3.64,1.74,1.60,2.09,2.06,3.54,,
August,3.85,1.59,4.16,4.67,2.34,2.91,1.02,2.40,2.66,2.38,,
September,0.47,0.92,0.87,2.59,1.53,3.22,1.15,0.71,1.22,4.02,,
October,2.54,1.62,1.99,5.34,0.40,1.22,3.97,4.39,0.99,2.52,,
November,1.92,1.45,1.65,1.90,0.97,2.25,3.23,1.78,0.86,0.41,,
December,4.11,4.67,1.83,0.85,1.55,0.49,2.46,2.49,0.98,3.69,,
Total,26.91,21.64,22.48,28.57,19.70,20.63,24.87,26.08,18.73,26.26,,
Calc annual,26.91,21.64,22.48,28.57,19.70,20.63,24.87,26.08,18.73,26.26,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
