"STRATHBLANE BLANEFIELD",,,,,,,,,,,,
Grid ref,NS555796,Long,-4.317901,Lat,55.987542,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.90,3.35,,,4.75,,,,,,,
February,5.55,1.80,,,4.40,,,,,,,
March,1.20,2.55,,,2.90,,,,,,,
April,3.25,3.90,,,6.00,,,,,,,
May,4.05,2.05,,,4.20,,,,,,,
June,4.80,3.75,,,2.35,,,,,,,
July,4.00,2.80,,,3.70,,,,,,,
August,4.60,4.85,,,6.00,,,,,,,
September,5.25,4.95,,,6.20,,,,,,,
October,7.25,5.55,,,2.55,,,,,,,
November,6.45,4.20,,,2.60,,,,,,,
December,10.10,6.75,,,5.80,,,,,,,
Total,64.40,46.50,-999.00,75.75,51.45,-999.00,51.25,52.25,53.60,48.20,,
Calc annual,64.40,46.50,0.00,0.00,51.45,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-999.00,75.75,0.00,-999.00,51.25,52.25,53.60,48.20,,
