"WEYMOUTH THE NOSHE & WESTHAM",,,,,,,,,,,,
Grid ref,SY669788,Long,-2.469131,Lat,50.607970,,,,,,,
Station no,1553,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.34,1.95,0.79,2.24,4.03,1.09,5.64,1.13,0.93,0.80,,
February,4.27,0.97,1.40,1.61,4.06,0.44,3.07,1.22,1.55,0.26,,
March,1.20,2.04,2.01,2.96,1.07,4.54,1.00,0.39,2.36,3.90,,
April,1.12,2.42,1.69,3.04,0.90,1.50,0.85,3.20,1.86,1.11,,
May,1.29,0.85,2.02,2.23,2.96,0.24,2.96,1.89,1.42,1.16,,
June,2.62,0.79,2.47,1.31,0.86,1.56,1.59,1.57,0.39,3.14,,
July,0.96,1.92,1.34,2.12,2.63,0.47,1.04,1.06,1.09,1.69,,
August,1.36,2.34,3.46,3.95,3.30,2.63,0.64,1.20,1.84,2.28,,
September,1.03,3.21,1.37,2.75,1.58,2.31,0.85,0.68,2.42,2.16,,
October,1.82,3.19,2.05,7.08,1.95,2.00,5.13,8.23,6.50,6.30,,
November,3.40,0.38,4.03,1.18,1.96,4.24,3.60,2.96,1.12,0.68,,
December,4.69,3.96,1.65,2.60,3.00,0.59,1.94,3.91,3.09,4.20,,
Total,27.10,24.02,24.28,33.07,28.30,21.61,28.31,27.44,24.57,27.68,,
Calc annual,27.10,24.02,24.28,33.07,28.30,21.61,28.31,27.44,24.57,27.68,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
