"BURNLEY, SWINDEN UPPER",,,,,,,,,,,,
Grid ref,SD888335,Long,-2.171516,Lat,53.797683,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.78,2.74,3.96,4.73,4.73,2.01,6.72,2.11,3.76,2.57,,
February,4.90,2.35,1.64,4.97,5.57,2.54,3.43,2.48,2.91,2.68,,
March,0.97,3.57,2.94,6.87,2.79,3.72,3.26,3.46,3.93,3.38,,
April,2.43,3.16,2.76,2.39,3.00,3.54,1.43,2.51,2.92,3.85,,
May,2.42,1.34,3.44,3.35,3.30,0.96,3.76,4.03,2.92,2.47,,
June,4.35,1.56,1.62,2.01,1.21,2.97,1.60,6.39,2.19,3.06,,
July,3.86,1.83,3.55,4.26,3.18,2.28,2.12,2.60,5.03,6.31,,
August,5.62,2.45,3.09,5.06,5.00,5.28,4.46,4.41,4.52,3.32,,
September,1.60,1.53,1.69,5.83,1.56,2.84,1.39,0.85,4.48,2.46,,
October,5.57,3.69,4.80,10.87,1.77,3.62,7.05,6.01,1.90,5.22,,
November,3.89,6.22,3.35,2.86,3.31,5.27,5.17,2.26,3.32,1.71,,
December,5.12,5.51,4.57,3.03,3.26,1.13,3.89,4.81,3.19,5.42,,
Total,46.51,35.95,37.41,56.23,38.68,36.16,44.28,41.92,41.07,42.45,,
Calc annual,46.51,35.95,37.41,56.23,38.68,36.16,44.28,41.92,41.07,42.45,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
